sequence,detector,reid,conf,cosine_distance,nn_budget,fps,MOTA,IDF1,HOTA
TUD-Stadtmitte,yolov5m,osnet_x0_25,0.5,0.5,50,14.117212890885934,78.54671280276817,71.04283054003724,55.709568625516006
TUD-Stadtmitte,yolov5l6,osnet_x0_25,0.5,0.5,50,5.897010085273477,79.23875432525952,70.58823529411765,55.662489017594794
KITTI-17,yolov5m,osnet_x0_25,0.5,0.5,50,14.162879025693982,66.61786237188872,79.40959409594096,57.291826769207574
KITTI-17,yolov5l6,osnet_x0_25,0.5,0.5,50,9.60460550512642,33.38213762811127,67.70379589296826,49.25456854317417
MOT16-09,yolov5m,osnet_x0_25,0.5,0.5,50,10.521192621197745,57.085790374738444,50.26749187034512,40.743950659503305
MOT16-09,yolov5l6,osnet_x0_25,0.5,0.5,50,6.50911929401584,45.25394711812821,51.28011336797355,42.418815479298964
MOT16-11,yolov5m,osnet_x0_25,0.5,0.5,50,9.804267821994214,52.746893394375405,50.6031626976686,46.593284111587444
MOT16-11,yolov5l6,osnet_x0_25,0.5,0.5,50,6.324443252471756,52.34357968170917,53.54969574036511,48.402331715731925
PETS09-S2L1,yolov5n,osnet_x0_25,0.5,0.5,50,17.14578930597986,78.15013404825737,67.1562082777036,51.78835382278828
PETS09-S2L1,yolov5m,osnet_x0_25,0.5,0.5,50,13.938088229311802,82.41733690795353,74.95361781076066,57.55914653176636
PETS09-S2L1,yolov5l6,osnet_x0_25,0.5,0.5,50,6.3193027108649735,82.37265415549598,75.77452667814114,57.65478042576354
TUD-Campus,yolov5n,osnet_x0_25,0.5,0.5,50,14.790037406237943,53.48189415041783,52.9839883551674,40.94044115627032
TUD-Campus,yolov5m,osnet_x0_25,0.5,0.5,50,15.06854564468298,54.317548746518106,60.40816326530612,45.63724046447765
TUD-Campus,yolov5l6,osnet_x0_25,0.5,0.5,50,5.785213067525336,60.16713091922006,65.20547945205479,48.70630872087373
TUD-Stadtmitte,yolov5n,osnet_x0_25,0.5,0.5,50,17.65909004202211,77.85467128027682,71.36105860113422,56.16839346357108
TUD-Stadtmitte,yolov5m,osnet_x0_25,0.5,0.5,50,14.117212890885934,78.54671280276817,71.04283054003724,55.709568625516006
TUD-Stadtmitte,yolov5l6,osnet_x0_25,0.5,0.5,50,5.897010085273477,79.23875432525952,70.58823529411765,55.662489017594794
KITTI-17,detectron2,osnet_x0_25,0.5,0.5,50,0.1537059499885526,6.002928257686676,64.29365962180201,48.3739267526006
KITTI-17,detectron2,osnet_x1_0,0.5,0.5,50,0.14675741031739964,6.734992679355783,64.47295036252092,48.567647814421086
KITTI-17,detectron2,resnet50,0.5,0.5,50,0.1372810720575001,4.685212298682284,61.53846153846154,45.97926281823124
MOT16-09,detectron2,osnet_x0_25,0.5,0.5,50,0.09796336075674258,31.177477648849155,43.11314125087843,36.47092622492188
